round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,fedavg,saml,0.0,0.022228193447747596,1693,0.1
10,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,fedavg,saml,0.05625717566016074,0.04806020248387491,1693,0.1
15,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,fedavg,saml,0.060800790904597134,0.05097877546142772,1693,0.1
20,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,fedavg,saml,0.06254886630179828,0.05085072154595863,1693,0.1
5,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,fedprox,saml,0.04728950403690888,0.05127829914334843,1693,0.1
10,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,fedprox,saml,0.06349206349206349,0.047299344792413406,1693,0.1
15,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,fedprox,saml,0.059389719434773704,0.05107894078648488,1693,0.1
20,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,fedprox,saml,0.06646341463414634,0.05179545445779136,1693,0.1
5,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,fednova,saml,0.0,0.032980908565308845,1693,0.1
10,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,fednova,saml,0.0,0.034431860162025055,1693,0.1
15,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,fednova,saml,0.0,0.041159339514625255,1693,0.1
20,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,fednova,saml,0.0,0.04721113389281728,1693,0.1
5,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,persfl,saml,0.028895330308226976,0.0979055337664044,1693,0.1
10,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,persfl,saml,0.03387177910681348,0.10392079422581499,1693,0.1
15,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,persfl,saml,0.024227384363487516,0.09848131199393473,1693,0.1
20,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,persfl,saml,0.0188800464229462,0.07136687930467572,1693,0.1
